No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
100,37.595957,192.168.43.53,172.217.194.138,TCP,1414,"[TCP Retransmission] 53432  >  443 [PSH, ACK] Seq=1584 Ack=777 Win=64504 Len=1360",,,,,,,,,,,,,,,38.239918,37.595957,0.643961,0.049703,0.594258
101,38.239918,69.171.250.60,192.168.43.53,TLSv1.2,189,Application Data,,,,,,,,,,,,,,,38.289621,38.239918,0.049703,0.515608,0.465905
102,38.289621,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=1135 Win=64146 Len=0,,,,,,,,,,,,,,,38.805229,38.289621,0.515608,2.040219,1.524611
105,38.805229,192.168.43.53,172.217.194.138,TCP,1414,"[TCP Retransmission] 53432  >  443 [PSH, ACK] Seq=1584 Ack=777 Win=64504 Len=1360",,,,,,,,,,,,,,,40.845448,38.805229,2.040219,0.050754,1.989465
106,40.845448,69.171.250.60,192.168.43.53,TLSv1.2,103,Application Data,,,,,,,,,,,,,,,40.896202,40.845448,0.050754,0.312509,0.261755
107,40.896202,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=1184 Win=64097 Len=0,,,,,,,,,,,,,,,41.208711,40.896202,0.312509,2.375102,2.062593
108,41.208711,192.168.43.53,172.217.194.138,TCP,1414,"[TCP Retransmission] 53432  >  443 [PSH, ACK] Seq=1584 Ack=777 Win=64504 Len=1360",,,,,,,,,,,,,,,43.583813,41.208711,2.375102,0.041684,2.333418
109,43.583813,69.171.250.60,192.168.43.53,TLSv1.2,453,Application Data,,,,,,,,,,,,,,,43.625497,43.583813,0.041684,0.000221,0.041463
110,43.625497,69.171.250.60,192.168.43.53,TLSv1.2,934,Application Data,,,,,,,,,,,,,,,43.625718,43.625497,0.000221,1.189051,1.18883
111,43.625718,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=2463 Win=65280 Len=0,,,,,,,,,,,,,,,44.814769,43.625718,1.189051,0,1.189051
112,44.814769,69.171.250.60,192.168.43.53,TLSv1.2,154,Application Data,,,,,,,,,,,,,,,44.814769,44.814769,0,0.000118,0.000118
113,44.814769,69.171.250.60,192.168.43.53,TLSv1.2,278,Application Data,,,,,,,,,,,,,,,44.814887,44.814769,0.000118,0.000202,8.4E-05
114,44.814887,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=2787 Win=64956 Len=0,,,,,,,,,,,,,,,44.815089,44.814887,0.000202,0.017872,0.01767
115,44.815089,69.171.250.60,192.168.43.53,TLSv1.2,374,Application Data,,,,,,,,,,,,,,,44.832961,44.815089,0.017872,0.000103,0.017769
116,44.832961,69.171.250.60,192.168.43.53,TLSv1.2,235,Application Data,,,,,,,,,,,,,,,44.833064,44.832961,0.000103,1.182719,1.182616
117,44.833064,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=3288 Win=64455 Len=0,,,,,,,,,,,,,,,46.015783,44.833064,1.182719,0.511433,0.671286
118,46.015783,192.168.43.53,172.217.194.138,TCP,1414,"[TCP Retransmission] 53432  >  443 [PSH, ACK] Seq=1584 Ack=777 Win=64504 Len=1360",,,,,,,,,,,,,,,46.527216,46.015783,0.511433,0,0.511433
120,46.527216,69.171.250.60,192.168.43.53,TLSv1.2,274,Application Data,,,,,,,,,,,,,,,46.527216,46.527216,0,0.0002,0.0002
121,46.527216,69.171.250.60,192.168.43.53,TLSv1.2,434,"Application Data, Application Data",,,,,,,,,,,,,,,46.527416,46.527216,0.0002,0.002905,0.002705
122,46.527416,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=3888 Win=65280 Len=0,,,,,,,,,,,,,,,46.530321,46.527416,0.002905,0.04793,0.045025
123,46.530321,69.171.250.60,192.168.43.53,TLSv1.2,274,Application Data,,,,,,,,,,,,,,,46.578251,46.530321,0.04793,0.528442,0.480512
124,46.578251,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=4108 Win=65060 Len=0,,,,,,,,,,,,,,,47.106693,46.578251,0.528442,0,0.528442
126,47.106693,172.217.194.138,192.168.43.53,TCP,54,443  >  53432 [ACK] Seq=777 Ack=2944 Win=9658 Len=0,,,,,,,,,,,,,,,47.106693,47.106693,0,0.000124,0.000124
127,47.106693,172.217.194.138,192.168.43.53,TLSv1.2,93,Application Data,,,,,,,,,,,,,,,47.106817,47.106693,0.000124,0.288225,0.288101
128,47.106817,192.168.43.53,172.217.194.138,TCP,54,"53432  >  443 [RST, ACK] Seq=2944 Ack=816 Win=0 Len=0",,,,,,,,,,,,,,,47.395042,47.106817,0.288225,0.092505,0.19572
130,47.395042,192.168.43.53,74.125.68.138,TCP,66,53441  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,,,,,47.487547,47.395042,0.092505,0.000147,0.092358
131,47.487547,74.125.68.138,192.168.43.53,TCP,66,"443  >  53441 [SYN, ACK] Seq=0 Ack=1 Win=13600 Len=0 MSS=1360 WS=1 SACK_PERM=1",,,,,,,,,,,,,,,47.487694,47.487547,0.000147,0.000883,0.000736
132,47.487694,192.168.43.53,74.125.68.138,TCP,54,53441  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0,,,,,,,,,,,,,,,47.488577,47.487694,0.000883,0.308346,0.307463
133,47.488577,192.168.43.53,74.125.68.138,TLSv1.3,639,Client Hello,,,,,,,,,,,,,,,47.796923,47.488577,0.308346,0.350257,0.041911
134,47.796923,192.168.43.53,74.125.68.138,TCP,639,"[TCP Retransmission] 53441  >  443 [PSH, ACK] Seq=1 Ack=1 Win=66560 Len=585",,,,,,,,,,,,,,,48.14718,47.796923,0.350257,0.600458,0.250201
135,48.14718,192.168.43.53,74.125.68.138,TCP,639,"[TCP Retransmission] 53441  >  443 [PSH, ACK] Seq=1 Ack=1 Win=66560 Len=585",,,,,,,,,,,,,,,48.747638,48.14718,0.600458,0.29738,0.303078
136,48.747638,192.168.43.53,74.125.68.138,TCP,639,"[TCP Retransmission] 53441  >  443 [PSH, ACK] Seq=1 Ack=1 Win=66560 Len=585",,,,,,,,,,,,,,,49.045018,48.747638,0.29738,0.046324,0.251056
137,49.045018,69.171.250.60,192.168.43.53,TLSv1.2,262,Application Data,,,,,,,,,,,,,,,49.091342,49.045018,0.046324,0.067454,0.02113
138,49.091342,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=4316 Win=64852 Len=0,,,,,,,,,,,,,,,49.158796,49.091342,0.067454,0.041923,0.025531
139,49.158796,69.171.250.60,192.168.43.53,TLSv1.2,235,Application Data,,,,,,,,,,,,,,,49.200719,49.158796,0.041923,0.175607,0.133684
140,49.200719,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=4497 Win=64671 Len=0,,,,,,,,,,,,,,,49.376326,49.200719,0.175607,0.845978,0.670371
141,49.376326,74.125.68.138,192.168.43.53,TCP,54,443  >  53441 [ACK] Seq=1 Ack=586 Win=14185 Len=0,,,,,,,,,,,,,,,50.222304,49.376326,0.845978,0.002607,0.843371
142,50.222304,74.125.68.138,192.168.43.53,TLSv1.3,266,"Server Hello, Change Cipher Spec, Application Data",,,,,,,,,,,,,,,50.224911,50.222304,0.002607,0.000786,0.001821
143,50.224911,192.168.43.53,74.125.68.138,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,,,,,,50.225697,50.224911,0.000786,0.000435,0.000351
144,50.225697,192.168.43.53,74.125.68.138,TLSv1.3,146,Application Data,,,,,,,,,,,,,,,50.226132,50.225697,0.000435,0.141427,0.140992
145,50.226132,192.168.43.53,74.125.68.138,TLSv1.3,727,Application Data,,,,,,,,,,,,,,,50.367559,50.226132,0.141427,0.004912,0.136515
146,50.367559,74.125.68.138,192.168.43.53,TCP,54,443  >  53441 [ACK] Seq=213 Ack=650 Win=14249 Len=0,,,,,,,,,,,,,,,50.372471,50.367559,0.004912,5.9E-05,0.004853
147,50.372471,74.125.68.138,192.168.43.53,TCP,54,443  >  53441 [ACK] Seq=213 Ack=742 Win=14341 Len=0,,,,,,,,,,,,,,,50.37253,50.372471,5.9E-05,0,5.9E-05
148,50.37253,192.168.43.53,74.125.68.138,TCP,1414,53441  >  443 [ACK] Seq=1415 Ack=213 Win=66304 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,50.37253,50.37253,0,0.007753,0.007753
149,50.37253,192.168.43.53,74.125.68.138,TLSv1.3,79,Application Data,,,,,,,,,,,,,,,50.380283,50.37253,0.007753,0.003999,0.003754
150,50.380283,74.125.68.138,192.168.43.53,TCP,54,443  >  53441 [ACK] Seq=213 Ack=1415 Win=15014 Len=0,,,,,,,,,,,,,,,50.384282,50.380283,0.003999,9E-05,0.003909
151,50.384282,74.125.68.138,192.168.43.53,TLSv1.3,85,"[TCP Previous segment not captured] , Application Data",,,,,,,,,,,,,,,50.384372,50.384282,9E-05,0.005654,0.005564
152,50.384372,192.168.43.53,74.125.68.138,TCP,66,[TCP Dup ACK 143#1] 53441  >  443 [ACK] Seq=2800 Ack=213 Win=66304 Len=0 SLE=793 SRE=824,,,,,,,,,,,,,,,50.390026,50.384372,0.005654,0.000113,0.005541
